paper_id,year,extraction_method,stage1_response,ethics_substantive,ethics_justification,input_tokens_s1,output_tokens_s1,stage2_response,ethics_theme,theme_justification,input_tokens_s2,output_tokens_s2
1810.10102,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper focuses entirely on technical performance of machine learning models for travel time prediction, with no normative engagement with fairness, harm, accountability, or governance concerns.",0,"The paper focuses entirely on technical performance of machine learning models for travel time prediction, with no normative engagement with fairness, harm, accountability, or governance concerns.",1074,45,,,,0,0
1806.00938,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical program synthesis methods for educational programming tasks, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical program synthesis methods for educational programming tasks, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",571,46,,,,0,0
1807.04561,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper is entirely focused on technical AI planning and knowledge representation for manufacturing process automation, with no normative engagement with fairness, harm, accountability, or governance.",0,"The paper is entirely focused on technical AI planning and knowledge representation for manufacturing process automation, with no normative engagement with fairness, harm, accountability, or governance.",1581,45,,,,0,0
1802.03493,2018,sections,"SCORE: 0
REASON: The paper's mention of ethics is purely incidental (noting that deploying policies without performance estimates ""could be costly, unethical, or even illegal""), while the substantive content is entirely technical, focusing on variance reduction and statistical properties of off-policy evaluation estimators.",0,"The paper's mention of ethics is purely incidental (noting that deploying policies without performance estimates ""could be costly, unethical, or even illegal""), while the substantive content is entirely technical, focusing on variance reduction and statistical properties of off-policy evaluation estimators.",1259,68,,,,0,0
1809.04708,2018,sections,"SCORE: 0
REASON: The paper is purely technical, focusing on knowledge graph embedding and commonsense knowledge acquisition without any normative engagement with fairness, harm, accountability, or governance.",0,"The paper is purely technical, focusing on knowledge graph embedding and commonsense knowledge acquisition without any normative engagement with fairness, harm, accountability, or governance.",899,45,,,,0,0
1801.01705,2018,sections,"SCORE: 1
REASON: The paper substantively engages with AI ethics by examining normative concerns about fair access to information, accountability of algorithmic gatekeeping, intellectual privacy, and governance frameworks (codes of conduct) for ensuring algorithms align with human ethical values in archival and library contexts.",1,"The paper substantively engages with AI ethics by examining normative concerns about fair access to information, accountability of algorithmic gatekeeping, intellectual privacy, and governance frameworks (codes of conduct) for ensuring algorithms align with human ethical values in archival and library contexts.",1443,66,"CATEGORY: C
REASON: The paper primarily frames AI ethics through the lens of power asymmetries, equitable access to information, and structural inequalities in how algorithmic gatekeeping systems in archives and libraries affect communities and perpetuate or challenge existing social hierarchies.",C,"The paper primarily frames AI ethics through the lens of power asymmetries, equitable access to information, and structural inequalities in how algorithmic gatekeeping systems in archives and libraries affect communities and perpetuate or challenge existing social hierarchies.",1467,61
1810.06033,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical methods for knowledge base completion using neural networks and path ranking, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical methods for knowledge base completion using neural networks and path ranking, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",701,48,,,,0,0
1801.05644,2018,sections,"SCORE: 1
REASON: The paper substantively engages with ethics by grounding its decision-theoretic framework in normative concepts from Scanlon, Rawls, and Habermas—explicitly connecting fairness, justification, responsibility, and public acceptability to the design of decision support systems.",1,"The paper substantively engages with ethics by grounding its decision-theoretic framework in normative concepts from Scanlon, Rawls, and Habermas—explicitly connecting fairness, justification, responsibility, and public acceptability to the design of decision support systems.",964,70,"CATEGORY: A
REASON: The paper develops a technical decision-theoretic framework centered on ""deliberated judgments"" and reason-based choice to ground formal recommendations, engaging with fairness and justification primarily as structural properties within a formal/analytical methodology rather than as governance mechanisms or structural justice concerns.",A,"The paper develops a technical decision-theoretic framework centered on ""deliberated judgments"" and reason-based choice to ground formal recommendations, engaging with fairness and justification primarily as structural properties within a formal/analytical methodology rather than as governance mechanisms or structural justice concerns.",988,66
1801.03160,2018,sections,"SCORE: 1
REASON: The paper substantively engages with AI ethics by attempting to formalize and implement Kantian moral philosophy (the categorical imperative) in artificial agents, reflecting genuine normative concern about how AI should treat human beings.",1,"The paper substantively engages with AI ethics by attempting to formalize and implement Kantian moral philosophy (the categorical imperative) in artificial agents, reflecting genuine normative concern about how AI should treat human beings.",293,56,"CATEGORY: A
REASON: The paper focuses on the technical implementation of ethical constraints (Kant's categorical imperative) as formal computational rules for programming artificial agents, which falls within technical ethics and safety constraints.",A,"The paper focuses on the technical implementation of ethical constraints (Kant's categorical imperative) as formal computational rules for programming artificial agents, which falls within technical ethics and safety constraints.",317,47
1812.08597,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper focuses on classifying and describing levels of opacity/transparency in AI systems technically, without engaging in normative ethical concerns about fairness, harm, accountability, or justice.",0,"The paper focuses on classifying and describing levels of opacity/transparency in AI systems technically, without engaging in normative ethical concerns about fairness, harm, accountability, or justice.",562,48,,,,0,0
