paper_id,year,topic,ethics_theme,ethics_substantive,ethics_justification,dominant_type,prop_industry_research_lab,prop_other,prop_research_university,prop_tech_company
1801.01705,2018,0,C,1,"The paper substantively engages with AI ethics by examining normative concerns about fair access to information, accountability of algorithmic gatekeeping, intellectual privacy, and governance frameworks (codes of conduct) for ensuring algorithms align with human ethical values in archival and library contexts.",research university,0.0,0.0,1.0,0.0
1801.05644,2018,0,A,1,"The paper substantively engages with ethics by grounding its decision-theoretic framework in normative concepts from Scanlon, Rawls, and Habermas—explicitly connecting fairness, justification, responsibility, and public acceptability to the design of decision support systems.",research university,0.0,0.0,1.0,0.0
1801.03160,2018,0,A,1,"The paper substantively engages with AI ethics by attempting to formalize and implement Kantian moral philosophy (the categorical imperative) in artificial agents, reflecting genuine normative concern about how AI should treat human beings.",research university,0.0,0.0,1.0,0.0
1811.11623,2018,0,B,1,"Section 6 describes substantive accompanying ethical research that explicitly engages with normative questions about security vs. freedom, societal responsibility, and the right or wrong use of surveillance technology, going beyond mere technical performance considerations.",other,0.0,1.0,0.0,0.0
1809.07027,2018,0,B,1,"The paper substantively engages with AI ethics by treating fairness, values, accountability, and governance as genuine normative concerns requiring philosophical conceptualization and practical implementation frameworks, rather than merely as technical performance metrics.",research university,0.0,0.0,1.0,0.0
1809.03260,2018,1,A,1,"The paper substantively engages with AI ethics by addressing individual discrimination and fairness in AI decision-making systems (e.g., hiring, loans), framing bias detection as a genuine normative concern about preventing unjust differential treatment based on protected attributes like gender and race.",industry research lab,1.0,0.0,0.0,0.0
1903.07198,2019,0,A,1,"The paper substantively engages with ethics by explicitly acknowledging the ""troubling similarities"" between explanation mechanisms and deception/lies, raising a genuine normative concern about honesty and manipulation in human-AI interaction.",research university,0.0,0.0,1.0,0.0
1910.00057,2019,0,A,1,"The paper substantively engages with AI ethics by addressing fairness and transparency in high-stakes algorithmic decision-making (mortgage, healthcare, criminal risk assessment) and focusing on providing actionable recourse to affected individuals, reflecting genuine normative concern about accountability and harm.",research university,0.0,0.0,1.0,0.0
1906.01747,2019,1,A,1,"The paper substantively engages with AI ethics by explicitly addressing fairness for demographic groups, referencing legal compliance (Title VII), identifying ""in-group fairness"" as a normative concern to prevent disadvantaged groups from being disproportionately harmed by diversity constraints, and framing the research around justice-oriented goals beyond mere technical performance.",research university,0.0,0.0,1.0,0.0
1909.04386,2019,0,A,1,"The paper substantively engages with AI ethics by directly addressing digital discrimination, fairness, and the normative concern that AI systems must respect human values and avoid unfair treatment based on protected characteristics like gender, ethnicity, and religion.",research university,0.0,0.0,1.0,0.0
2003.05856,2020,0,A,1,"The Broader Impact section substantively engages with ethical concerns around fairness and harm, explicitly discussing how differential forgetting in healthcare AI could inequitably affect diagnostic accuracy across patient populations and calling for research at the intersection of continual learning and fairness before safe deployment.",other,0.364,0.636,0.0,0.0
2011.12863,2020,0,B,1,"The paper substantively engages with AI ethics by critically examining whether European national AI strategies translate ethical and social concerns—such as human-centric design, accountability, trustworthy AI, and citizens' rights—into concrete governance and policy measures, reflecting genuine normative concern rather than merely technical treatment.",research university,0.0,0.25,0.75,0.0
2004.13654,2020,0,A,1,"The paper substantively engages with AI ethics by addressing the normative concern of preventing AI agents from manipulating their own reward-learning processes to subvert human oversight and control, which directly relates to questions of AI safety, accountability, and aligned governance.",industry research lab,0.75,0.25,0.0,0.0
2003.00683,2020,1,A,1,"The paper substantively engages with AI ethics through its focus on algorithmic fairness and discrimination prevention, citing foundational works on fairness (e.g., Dwork et al., Hardt et al., Kusner et al.) and referencing O'Neil's ""Weapons of Math Destruction,"" indicating genuine normative concern about bias and harm in automated decision-making systems.",other,0.0,1.0,0.0,0.0
2104.12278,2021,0,A,1,"The paper substantively engages with AI ethics by addressing socially responsible AI, risks of oppression, fairness concerns embedded in data and algorithmic design, and the need for causal understanding to achieve ethical outcomes—going well beyond technical framing.",research university,0.0,0.0,1.0,0.0
2108.05809,2021,0,B,1,"The paper substantively engages with AI ethics by explicitly linking AI literacy to normative concerns about bias, public trust, societal protection, governance (policymakers and regulation), and the ethical responsibilities of different user roles across society.",other,0.0,1.0,0.0,0.0
2110.09240,2021,0,A,1,"The paper substantively engages with AI ethics by developing a formal framework for value alignment in autonomous agents, explicitly concerned with how norms can be engineered to foster behaviour consistent with human values—a genuine normative concern about governance and accountability of socio-cognitive technical systems.",other,0.0,1.0,0.0,0.0
2104.09586,2021,0,C,1,"The paper substantively engages with AI ethics by applying NLP/topic modeling to analyze Incel communities with the explicit normative goal of understanding extremism, countering radicalization, and informing strategies around cybercrime and harm prevention.",research university,0.0,0.0,1.0,0.0
2106.02617,2021,0,A,1,"The paper substantively engages with AI ethics by addressing harm avoidance, the wellbeing and agency of other agents, fairness in decision-making, and the societal risks of misuse, rooted in genuine normative concern about safe and beneficial AI behavior.",research university,0.0,0.0,1.0,0.0
2102.00617,2021,0,A,1,"The paper substantively engages with AI ethics by addressing normative concerns such as moral responsibility allocation, the trolley problem in autonomous driving contexts, privacy, and security governance frameworks rather than treating these as purely technical metrics.",research university,0.0,0.0,1.0,0.0
